customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RF_SCORE,segment,cluster,segment_ismi
cc294636-19f0-11eb-8d74-000d3a38a36f,-0.3820576185938895,-0.0052224886359123,0.2101071837705789,3,4,4,34,loyal_customers,2,Yeni/Potansiyel
f431bd5a-ab7b-11e9-a2fc-000d3a38a36f,-0.2852321007983309,3.3684628828061016,1.4097993014060246,3,5,5,35,loyal_customers,3,Sadık Müşteriler
69b69676-1a40-11ea-941b-000d3a38a36f,0.4990545933456941,-0.0052224886359123,-0.1853116419837915,2,4,3,24,at_Risk,0,Kayıp Müşteriler
1854e56c-491f-11eb-806e-000d3a38a36f,0.005244452588345,-0.6377884957812899,-0.7028015810129895,3,1,1,31,about_to_sleep,2,Yeni/Potansiyel
d6ea1074-f1f5-11e9-9346-000d3a38a36f,-0.4692005846098923,-0.6377884957812899,-0.604508088978977,3,1,1,31,about_to_sleep,2,Yeni/Potansiyel
e585280e-aae1-11e9-a2fc-000d3a38a36f,-0.5272958952872275,-0.426933160066164,-0.6146937116053852,4,2,1,42,potential_loyalists,2,Yeni/Potansiyel
c445e4ee-6242-11ea-9d1a-000d3a38a36f,0.8863566645279287,-0.2160778243510382,-0.4191677298942777,2,3,2,23,at_Risk,0,Kayıp Müşteriler
3f1b4dc8-8a7d-11ea-8ec0-000d3a38a36f,1.5350876337581716,-0.6377884957812899,-0.6562738355506902,1,1,1,11,hibernating,0,Kayıp Müşteriler
cfbda69e-5b4f-11ea-aca7-000d3a38a36f,-0.4692005846098923,-0.0052224886359123,0.3389017014545049,3,4,5,34,loyal_customers,2,Yeni/Potansiyel
1143f032-440d-11ea-8b43-000d3a38a36f,1.0219123894417108,-0.6377884957812899,-0.6536715876647766,1,1,1,11,hibernating,0,Kayıp Müşteriler
ae608ece-c9d8-11ea-a31e-000d3a38a36f,1.7093735657901772,-0.6377884957812899,-0.7106083246707301,1,1,1,11,hibernating,0,Kayıp Müşteriler
c2e15af2-9eed-11e9-9897-000d3a38a36f,-1.1760268645174703,3.157607547090976,2.3569393527575118,5,5,5,55,champions,3,Sadık Müşteriler
2854f11a-0185-11ea-a5e8-000d3a38a36f,-0.8371375522330151,-0.2160778243510382,-0.4900650242280934,4,3,2,43,potential_loyalists,2,Yeni/Potansiyel
ec6c382a-3e97-11ea-a823-000d3a38a36f,0.1214350739430154,-0.2160778243510382,-0.2160583734426754,2,3,3,23,at_Risk,2,Yeni/Potansiyel
241f0ad0-afb5-11e9-9757-000d3a38a36f,-1.282534934092585,4.001028889951479,4.089935928763158,5,5,5,55,champions,3,Sadık Müşteriler
13ed97a4-b167-11e9-89fa-000d3a38a36f,1.4866748748603924,0.6273435185094652,0.2022781032211137,1,5,4,15,cant_loose,0,Kayıp Müşteriler
d9b77226-a509-11e9-a2fc-000d3a38a36f,0.653975421818588,-0.0052224886359123,-0.2859058338654358,2,4,3,24,at_Risk,0,Kayıp Müşteriler
efb82ba4-aaba-11e9-a2fc-000d3a38a36f,-0.0238032027503225,-0.2160778243510382,0.1536953637201531,3,3,4,33,need_attention,2,Yeni/Potansiyel
1ee5ae66-7237-11eb-aa44-000d3a38a36f,-0.8080898968943476,-0.6377884957812899,-0.540691589321853,4,1,1,41,promising,2,Yeni/Potansiyel
2730793e-3908-11ea-85d6-000d3a38a36f,2.0579454298541884,-0.6377884957812899,-0.487239407424934,1,1,2,11,hibernating,0,Kayıp Müşteriler
4da5c2ba-403b-11ea-aa6b-000d3a38a36f,-0.062533409868546,-0.6377884957812899,-0.7162037160477372,3,1,1,31,about_to_sleep,2,Yeni/Potansiyel
7b289956-d691-11e9-93bc-000d3a38a36f,0.50873714512525,-0.426933160066164,-0.0229782813754093,2,2,4,22,hibernating,0,Kayıp Müşteriler
1a9b39d8-40ac-11ea-9be8-000d3a38a36f,2.24191391366575,-0.6377884957812899,-0.5933508115625494,1,1,1,11,hibernating,0,Kayıp Müşteriler
4fbb0cbe-9085-11ea-af25-000d3a38a36f,-0.1109461687663253,-0.6377884957812899,-0.568244145264122,3,1,1,31,about_to_sleep,2,Yeni/Potansiyel
d1fabf76-7171-11eb-a3e2-000d3a38a36f,-1.0211060360445765,-0.2160778243510382,0.396832430142202,5,3,5,53,potential_loyalists,2,Yeni/Potansiyel
6ff327d4-b0e1-11e9-9757-000d3a38a36f,-0.0141206509707666,-0.426933160066164,-0.450975463710079,3,2,2,32,about_to_sleep,2,Yeni/Potansiyel
7e7732ae-2d78-11eb-8062-000d3a299ebf,-0.7596771379965682,-0.6377884957812899,-0.2445155734997898,4,1,3,41,promising,2,Yeni/Potansiyel
c1f8f878-9f35-11e9-9897-000d3a38a36f,-0.4111052739325571,-0.2160778243510382,-0.6928616641955516,3,3,1,33,need_attention,2,Yeni/Potansiyel
5e1830d8-9e24-11e9-9897-000d3a38a36f,0.0923874186043478,-0.426933160066164,-0.3158149318846479,3,2,3,32,about_to_sleep,2,Yeni/Potansiyel
